OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Reforming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
325,301,MARATHON PETROLEUM CO LP,MARATHON PETROLEUM CORP,GALVESTON BAY,Texas,3,665,259.5,219.5,164,0,146.5,67,430.5,32.5,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",29.374692,-94.933456,1,-10567943.9812,3423422.9187
326,302,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,SALT LAKE CITY,Utah,4,72.5,0,28.5,0,0,11.5,8,47.5,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",40.792315,-111.905455,,-12457258.2676,4981756.2685
327,308,TOLEDO REFINING CO LLC,PBF ENERGY CO LLC,TOLEDO,Ohio,2,180,0,82,52,0,51.8,9.95,149.9,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",41.62889,-83.50492,1,-9295725.1731,5105550.0543
328,309,HF SINCLAIR TULSA REFINING LLC,HF SINCLAIR CORP,TULSA WEST,Oklahoma,2,91.02,32,0,0,0,0,0.9,49.6,11,6.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",36.139133,-96.022697,,-10689197.7346,4319782.7852
329,314,TESORO ALASKA COMPANY LLC,MARATHON PETROLEUM CORP,KENAI,Alaska,5,72,26,0,13,0,13.5,5,24.5,0,9.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",60.682335,-151.376675,,-16851174.379,8553244.5964
330,317,HF SINCLAIR EL DORADO REFINING LLC,HF SINCLAIR CORP,EL DORADO,Kansas,2,165,65,44,0,0,31,30.5,193,22.5,4,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",37.797473,-96.872662,1,-10783815.4056,4550854.9142
331,322,HF SINCLAIR PUGET SOUND REFG LLC,HF SINCLAIR CORP,ANACORTES,Washington,5,149,65.8,57.9,0,0,21.7,12.5,130.5,25.3,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",48.470693,-122.556244,1,-13642898.6756,6185521.6856
332,329,US OIL & REFINING CO,PAR PETROLEUM INC,TACOMA,Washington,5,42,19.2,0,0,0,6.8,5,19.4,0,9,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",47.255786,-122.397126,1,-13625185.7409,5983925.2561
333,333,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,FERNDALE,Washington,5,110.5,48.1,38,0,0,18.5,15.6,91.3,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",48.830501,-122.696618,1,-13658525.0378,6246149.7456
334,335,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,LINDEN,New Jersey,1,272.1,75,145,0,0,37,22.8,191,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",40.635876,-74.22235,1,-8262394.2075,4958780.9082
335,336,MONROE ENERGY LLC,DELTA AIR LINES INC,TRAINER,Pennsylvania,1,208,73,53,23,0,50,12,190.6,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",39.819143,-75.403896,1,-8393923.3065,4839695.3339
336,339,VALERO REFINING CO OKLAHOMA,VALERO ENERGY CORP,ARDMORE,Oklahoma,2,90,32,30,14,0,20.5,7.012,112.95,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",34.2044,-97.101794,,-10809322.2632,4056281.0849
