Date,Day,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
2006-03-14,14,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51098.56529447938,48926.1015625,1981888.7885349095
2006-03-14,14,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13894.886286727642,11504.2998046875,458248.0992159359
2006-03-15,15,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51067.31949946478,49636.3984375,2004287.904965967
2006-03-15,15,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13884.717169482914,11273.2001953125,449707.1286256984
2006-03-16,16,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51035.61823455602,43062.8984375,1743457.3219788074
2006-03-16,16,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13874.24133643787,10957.5,437766.0108089447
2006-03-17,17,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51003.47116936847,47472.3984375,1932971.6317626536
2006-03-17,17,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13863.461982962699,9058.6904296875,364181.09801032394
2006-03-18,18,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,50970.88810949693,49430.30078125,2000172.4270817935
2006-03-18,18,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13852.38239700829,11430.5,458089.8541431427
2006-03-19,19,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,50937.878993524515,49531.19921875,2015231.3248362988
2006-03-19,19,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13841.005958103357,11930.2001953125,481876.29755185917
2006-03-20,20,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,50904.45388999133,49686.1015625,2001698.9835068285
2006-03-20,20,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13829.336136323598,11193.900390625,451217.7706556991
2006-03-21,21,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,50870.6229943232,48558.0,1953983.6336746216
2006-03-21,21,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13817.376491233237,10829.7001953125,434990.0797737874
2006-03-22,22,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,50836.39662572196,43908.0,1766436.4069519043
2006-03-22,22,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13805.130670799268,10050.099609375,408350.6247319579
